id,first_name,last_name,race,county,num_children,income,age_group,ssn,smoker,complications
1,Tabby,Ward,race3,county3,1,212036,group3,670-18-6875,False,2
2,Ardyce,Ward,race2,?,1,159218,group2,373-03-1601,True,0
3,Gerhard,Frank,race3,county1,0,157768,group2,805-95-6067,True,3
4,Romy,Hawkins,race3,county1,0,11824,group3,117-52-3454,False,1
5,Edeline,Scott,race1,?,2,80479,group1,819-11-5314,True,0
6,Cozmo,Frank,race1,county3,3,160229,group3,751-43-6257,True,2
7,Hilde,Wilkerson,race3,county1,0,220707,group2,689-14-9944,False,2
8,Georgeanna,Frank,race1,?,2,146742,group3,844-92-1943,False,10
9,Maddie,Scott,race1,?,1,160988,group1,250-75-1381,False,3
10,Dody,Frank,race3,county4,3,34170,group2,360-78-9074,False,8
11,Coralie,Lawson,race3,county1,3,42949,group2,459-55-4950,False,1
12,Peggie,Frank,race3,county1,4,174492,group1,328-62-8330,False,2
13,Pepe,Le,race1,?,4,117328,group3,421-81-5857,True,1
14,Gregorio,Watson,race3,county1,3,180874,group1,589-50-0500,?,3
15,Donall,Elliott,race2,county2,0,54398,group1,718-97-7242,True,7
16,Shane,Casey,race1,county1,0,92542,group2,114-24-9527,False,10
17,Devonna,Elliott,?,county4,3,162280,group3,527-20-0150,False,5
18,Kelcie,Hawkins,?,county1,2,234791,group3,709-91-9697,True,8
19,Ewan,Lawson,race3,county1,0,276061,group2,845-72-6339,True,7
20,Vic,Brooks,race1,county4,2,112645,group1,649-08-9778,False,6
21,Brady,Watson,race2,?,1,16039,group3,582-90-4020,False,3
23,Karlene,Casey,race3,county1,0,76908,group2,305-38-8791,True,0
24,Saul,Owen,race1,county2,3,46039,group1,442-40-3873,True,3
25,Munroe,Cervantes,race1,county4,4,222278,group3,551-10-6630,?,9
26,Guillemette,Quinn,race1,county2,5,148361,group2,509-54-6455,False,7
27,Fransisco,Casey,?,county3,4,88245,group2,845-54-1369,True,3
28,Vania,Hale,race2,county3,1,86531,group1,546-13-4909,False,4
29,Wilbur,Cervantes,race2,county2,2,45698,group2,561-13-0572,True,2
30,Blake,Cervantes,race1,county1,0,78169,group2,615-47-3243,True,1
31,Tammie,Owen,race1,county2,4,20826,group2,519-18-8053,?,10
32,Pieter,Wilkerson,race1,county2,1,161243,group3,530-73-1817,False,9
34,Shirley,Pollard,race3,county4,4,165938,group2,615-58-0494,False,0
35,Ardyth,Casey,race1,county2,5,299828,group1,639-47-8631,False,5
36,Gustaf,Hawkins,race2,county4,1,209170,group1,539-84-5610,True,3
37,Yvor,Le,race3,?,2,272802,group1,249-38-9137,True,0
39,Dottie,Cervantes,race3,county1,0,144138,group1,274-95-7897,True,1
40,Dawna,Frank,race1,?,4,91808,group3,351-52-2403,True,2
41,Caritta,Lawson,race2,county1,0,269886,group3,432-23-4017,False,6
42,Filide,Casey,race1,county4,1,68809,group1,589-54-6553,?,8
43,Noland,Elliott,race3,county1,5,16426,group2,338-94-2471,False,10
44,Bengt,Cervantes,race2,?,1,108953,group1,432-71-3773,False,7
45,Napoleon,Elliott,race1,county4,3,26192,group3,458-83-1719,False,10
46,Carlo,Casey,race3,county1,5,47170,group3,872-62-5569,True,3
47,Tate,Hawkins,race1,county3,4,138356,group3,223-06-0077,True,7
48,Ax,Pollard,race1,?,0,181486,group1,448-65-8677,True,8
49,Mariquilla,Wilkerson,race1,county2,1,205190,group3,311-26-7830,False,0
51,Kellsie,Hoffman,race3,?,1,188184,group2,660-42-9796,False,5
52,Agnese,Lawson,race3,?,3,140985,group1,572-05-1310,False,4
54,Jasper,Cervantes,race1,county3,1,277472,group1,831-13-4196,True,8
55,Marj,Elliott,race1,county4,2,50522,group1,736-67-5893,False,8
56,Sandra,Pollard,race1,county1,5,182218,group3,741-93-8258,False,7
57,Lorilyn,Brooks,race1,county2,2,108105,group1,721-79-1303,False,10
58,Tristan,Ward,race3,county1,3,275396,group2,198-75-5714,False,5
59,Pearce,Elliott,race2,county2,1,24613,group1,561-35-7043,True,3
60,Leland,Brooks,race2,county2,1,43625,group1,582-51-4720,False,10
61,Ravi,Owen,race1,county2,1,287164,group2,757-64-6100,True,2
62,Seana,Hoffman,race1,?,2,141003,group3,629-47-1089,False,1
64,Rhiamon,Brooks,race2,county4,0,72359,group3,657-69-6892,False,7
65,Suzanna,Lawson,race2,county4,4,298966,group3,657-91-9085,False,3
66,Tandi,Cannon,?,?,4,271738,group3,506-60-2619,False,3
68,Cicily,Quinn,race1,county4,2,131587,group1,582-83-9526,True,0
70,Alia,Frank,race3,county1,3,47723,group3,550-83-6815,?,3
71,Zackariah,Brooks,race1,county3,2,261329,group2,142-92-5858,True,6
72,Meade,Hale,race3,county1,1,205153,group2,602-72-3092,True,6
73,Way,Waters,race1,?,2,157781,group1,316-36-4484,False,7
74,Sammy,Waters,race1,county3,4,157086,group2,387-41-4760,True,7
76,Kelley,Frank,race1,county1,5,254083,group3,215-11-3793,False,6
77,Adrea,Casey,race1,county3,5,70698,group3,181-72-1543,False,9
78,Krystal,Quinn,race1,county4,2,243538,group3,824-47-5103,True,0
79,Verla,Le,race3,county4,1,298857,group1,645-09-3180,True,1
80,Robin,Hoffman,race1,county2,0,200932,group2,823-33-7499,False,6
81,Nana,Le,?,county1,1,295389,group1,560-24-5026,True,1
82,Alyda,Lawson,race3,county1,3,65564,group3,340-22-2681,False,9
83,Kaye,Frank,race1,?,2,101901,group1,663-58-4062,False,4
84,Elenore,Hawkins,race2,?,2,155614,group3,853-02-0568,True,3
85,Urson,Quinn,race3,county3,3,282108,group1,782-54-7715,True,7
86,Clayson,Scott,race1,?,3,178798,group2,141-99-6737,?,8
87,Chevalier,Frank,race2,?,5,95839,group2,284-39-8658,?,9
88,Aland,Owen,race2,?,5,218251,group3,630-12-1329,False,5
89,Hertha,Cannon,race3,?,2,95144,group1,355-62-7321,False,7
90,Padraig,Cervantes,race1,county3,3,242490,group3,229-96-1572,False,5
91,Cassaundra,Hoffman,race1,?,1,134783,group1,659-86-5687,False,4
92,Dayle,Watson,race2,?,2,196695,group2,455-36-9655,?,4
93,Harman,Cannon,race3,?,3,76501,group3,132-48-1686,False,8
94,Floria,Pollard,?,county4,4,106892,group2,267-98-9203,True,2
95,Merrill,Waters,race1,county2,4,76676,group2,247-85-8275,True,9
96,Angelo,Watson,race3,?,5,147210,group3,888-02-3075,True,2
97,Gavin,Frank,race3,county1,5,163968,group3,819-49-2589,?,9
98,Emilia,Lawson,race3,county1,5,234878,group2,385-08-2946,True,0
99,Zack,Watson,race3,?,0,138541,group3,118-95-4547,True,9
100,Dorisa,Ward,race1,?,4,125416,group3,375-12-3144,False,10
101,Whittaker,Frank,race3,county1,2,163507,group2,192-52-9074,False,0
102,Nikos,Elliott,race3,county3,4,50031,group1,724-54-0805,False,5
103,Winfred,Ward,race3,county1,3,172189,group1,132-70-8619,True,4
104,Suellen,Brooks,race1,?,2,178329,group3,667-51-4751,True,6
105,Chaunce,Le,race1,county3,1,145658,group2,385-94-6416,True,3
106,Darsey,Cervantes,race3,county1,3,183329,group1,235-93-2151,True,1
107,Chris,Brooks,race1,county1,3,108963,group3,166-53-0082,False,4
108,Kaitlynn,Ward,?,county1,3,147750,group1,166-20-4625,True,8
109,Geri,Hoffman,?,county4,5,194694,group1,347-31-1632,?,9
110,Eveleen,Hoffman,race3,county1,1,186452,group1,657-11-6953,True,5
111,Roy,Ward,race3,county1,1,181248,group3,716-33-8942,False,2
112,Kipp,Hawkins,race3,county1,4,265921,group3,755-04-4013,True,8
113,Elihu,Ward,race2,county2,2,87318,group1,504-63-4976,False,9
114,Lynnea,Kirk,race1,county2,5,133030,group2,875-85-1033,True,7
115,Julianna,Watson,race3,county2,4,81247,group1,447-46-5130,True,4
116,Ramona,Wilkerson,race1,county1,1,163128,group1,316-01-4957,True,10
117,Carlin,Kirk,race2,?,0,242690,group2,204-93-8823,True,1
118,Ingemar,Quinn,race2,county4,0,267434,group1,293-19-0612,True,7
119,Lyndsey,Casey,race3,county4,3,139330,group2,278-19-9291,True,7
120,Raffarty,Elliott,race3,county2,0,184007,group2,401-65-0055,False,9
122,Nathalia,Le,race1,county3,3,58230,group1,846-07-3033,True,3
123,Silas,Waters,race1,county3,2,109137,group3,397-47-1680,True,7
124,Lemuel,Kirk,race2,county3,2,122393,group3,192-83-9654,False,8
125,Natasha,Cervantes,race3,county1,5,222971,group2,286-97-1546,True,7
126,Jemie,Pollard,race2,?,0,63804,group2,574-08-7015,False,5
127,Dorena,Quinn,race2,?,5,227948,group3,617-21-4898,False,8
128,Ibby,Cannon,race3,?,4,95598,group1,511-07-3644,True,7
130,Kiley,Quinn,race1,?,4,53347,group1,858-34-2708,False,8
132,Seward,Scott,race2,?,4,73865,group2,668-07-0658,?,1
133,Jule,Lawson,race2,county2,2,294404,group2,764-05-9819,False,2
134,Morena,Hale,?,county2,1,171182,group2,475-04-4400,True,10
135,Dotti,Lawson,race2,county3,1,114550,group3,158-02-4468,True,4
136,Sydelle,Cervantes,race1,county1,1,48582,group1,818-89-8494,False,0
137,Dominick,Pollard,race3,county1,0,136338,group1,185-55-9567,False,5
138,Svend,Pollard,race2,county4,2,250058,group2,832-78-9349,True,4
140,Johnathon,Frank,race3,county1,3,151042,group1,548-87-8155,?,1
141,Vivianne,Quinn,race3,county1,2,226950,group2,463-57-4672,False,9
142,Selina,Brooks,race3,county4,1,268388,group1,329-66-7294,True,3
143,Duky,Pollard,race2,county1,5,175282,group3,413-42-5774,False,8
144,Marjy,Kirk,race1,county1,2,278032,group1,548-79-9475,False,10
145,Danni,Scott,?,?,4,143131,group1,606-55-9588,False,2
147,Mayer,Pollard,race1,county4,1,294816,group1,852-65-4665,True,9
148,Frants,Le,race3,?,2,271408,group1,275-56-0001,False,5
149,Evyn,Lawson,?,county2,1,173861,group2,782-20-9771,False,5
151,Merna,Elliott,race3,county1,3,285497,group1,366-80-1510,False,1
152,Gussi,Quinn,race1,county3,1,221629,group3,512-95-4473,True,6
153,Cirstoforo,Brooks,race1,county2,0,195566,group2,671-59-7830,False,7
154,Patten,Scott,race3,?,1,37428,group2,378-65-5641,False,7
155,Danya,Watson,?,?,0,12248,group3,453-12-2767,True,0
156,Augustine,Casey,race2,?,2,234413,group3,608-88-6768,False,9
157,Sigfrid,Cervantes,race1,county3,5,286523,group3,178-93-5755,True,9
158,Flem,Quinn,race1,county1,0,264429,group3,402-30-9370,True,8
159,Antonina,Pollard,race3,county2,1,291885,group2,221-96-2958,True,2
160,Oralle,Cervantes,race3,county1,3,125638,group2,316-71-6950,?,2
161,Daven,Casey,race1,?,0,128702,group3,259-80-6060,False,4
162,Melessa,Owen,race2,?,1,290086,group3,797-41-8609,True,0
163,Rube,Casey,race3,county4,5,242710,group1,728-46-3622,False,1
165,Keri,Quinn,race3,?,4,123216,group3,509-77-9186,True,9
166,Mala,Lawson,race2,?,0,172607,group1,890-85-1167,True,6
167,Shay,Watson,race1,?,0,38634,group1,380-30-7894,True,9
168,Stanford,Watson,race1,?,0,210068,group1,719-27-0552,False,2
169,Milo,Cervantes,race1,county2,4,63841,group3,242-55-2069,False,1
170,Angelico,Owen,race1,?,1,248850,group3,696-46-0372,False,7
171,Hulda,Le,race2,county2,1,76985,group3,325-65-1771,True,3
172,Lind,Hawkins,race1,?,3,234144,group2,376-89-7539,?,1
173,Maryjane,Brooks,race2,county1,4,235389,group1,763-89-2417,True,2
174,Sinclair,Hoffman,?,county1,1,162400,group2,523-08-7182,False,8
175,Margarete,Le,race2,county4,5,23506,group3,619-65-6243,False,4
176,Clarice,Frank,race2,county4,1,40617,group1,749-81-9902,True,7
177,Sheila-kathryn,Ward,race3,county1,5,58731,group3,364-43-6353,False,2
178,Stacia,Scott,race3,county1,1,115169,group1,649-83-4601,False,3
179,Cameron,Cervantes,race2,county1,1,13783,group2,159-19-9697,True,5
181,Worthy,Casey,?,county4,2,192206,group2,292-41-9541,False,3
182,Brook,Quinn,race2,county1,1,196242,group3,535-21-6955,False,5
184,Bamby,Pollard,race1,county1,5,234723,group2,226-45-1123,False,1
